XCoord,YCoord,FID,REQUESTID,REQCAT,DESC,DATEINIT,STATUS,DATECLOSED,CANCEL,PROBCODE,SHOP,TILENO,DOMAINID,SRX,SRY
-84.60151970,42.75890973,48,112185,SEWER,DRAINAGE PROBLEM,2017-07-12 00:00:00,CLOSED,2017-08-02 00:00:00,N,DRAINAGE PROBLEM,LG-06,4,2,13060293.059000,458865.234000
-84.55581195,42.74304031,49,112190,SEWER,SEW-WTR IN BSMNT,2017-07-12 00:00:00,CLOSED,2017-07-13 00:00:00,N,SEW-WTR IN BSMNT,LG-09,4,2,13072554.480000,453051.070000
-84.53313334,42.71414104,50,112211,SEWER,DRAINAGE PROBLEM,2017-07-13 00:00:00,CLOSED,2017-07-14 00:00:00,N,DRAINAGE PROBLEM,LG-22,2,2,13078625.360000,442506.540000
-84.52032246,42.74512310,51,112221,SEWER,SEW-WTR IN BSMNT,2017-07-14 00:00:00,CLOSED,2017-07-17 00:00:00,N,SEW-WTR IN BSMNT,LG-11, ,2,13082088.700000,453790.690000
-84.55028501,42.68993249,52,112224,SEWER,SEW-WTR IN BSMNT,2017-07-17 00:00:00,CLOSED,2017-07-17 00:00:00,N,SEW-WTR IN BSMNT,LG-33,2,2,13073996.860000,433693.910000
-84.55358694,42.71292023,53,112236,SEWER,CAVE IN,2017-07-17 00:00:00,CLOSED,2017-07-17 00:00:00,N,CAVE IN,LG-21,4,2,13073127.770000,442073.180000
-84.57272809,42.74039362,54,112283,SEWER,CAVE IN,2017-07-19 00:00:00,CLOSED,2017-08-04 00:00:00,N,CAVE IN,LG-17,4,2,13068008.274000,452097.212000
-84.55028501,42.68993249,55,112284,SEWER,SEW-WTR IN BSMNT,2017-07-19 00:00:00,CLOSED,2017-07-20 00:00:00,N,SEW-WTR IN BSMNT,LG-33,2,2,13073996.860000,433693.910000
-84.54671604,42.70621210,56,112286,SEWER,DRAINAGE PROBLEM,2017-07-19 00:00:00,CLOSED,2017-07-20 00:00:00,N,DRAINAGE PROBLEM,LG-28,2,2,13074969.030000,439624.540000
-84.57303912,42.74016467,57,112288,SEWER,CAVE IN,2017-07-19 00:00:00,CLOSED,2017-07-21 00:00:00,N,CAVE IN,LG-17,4,2,13067924.520000,452013.980000
